input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1438008560.469	5307	0	0	0	u	u	uogkww	 91.60	  26.31	uogkww	Random	0	0	1.00
1438008560.563	5307	0	1	93	o	o	uogkww	 91.60	  26.31	uogkww	Random	93	0	1.00
1438008560.688	5307	0	2	125	g	g	uogkww	 91.60	  26.31	uogkww	Random	218	0	1.00
1438008560.844	5307	0	3	157	k	k	uogkww	 91.60	  26.31	uogkww	Random	375	0	1.00
1438008560.969	5307	0	4	125	w	w	uogkww	 91.60	  26.31	uogkww	Random	500	0	1.00
1438008561.125	5307	0	5	155	w	w	uogkww	 91.60	  26.31	uogkww	Random	655	0	1.00
1438008562.965	5307	1	0	0	n	n	nwmxxf	 73.89	  91.84	nwmxxf	Random	0	0	1.00
1438008563.059	5307	1	1	94	w	w	nwmxxf	 73.89	  91.84	nwmxxf	Random	94	0	1.00
1438008563.184	5307	1	2	125	m	m	nwmxxf	 73.89	  91.84	nwmxxf	Random	219	0	1.00
1438008563.496	5307	1	3	312	x	x	nwmxxf	 73.89	  91.84	nwmxxf	Random	531	0	1.00
1438008563.683	5307	1	4	187	x	x	nwmxxf	 73.89	  91.84	nwmxxf	Random	718	0	1.00
1438008563.777	5307	1	5	94	f	f	nwmxxf	 73.89	  91.84	nwmxxf	Random	812	0	1.00
1438008565.526	5307	2	0	0	o	o	ohrswt	 71.26	  61.21	ohrswt	Random	0	0	1.00
1438008565.619	5307	2	1	92	h	h	ohrswt	 71.26	  61.21	ohrswt	Random	92	0	1.00
1438008565.807	5307	2	2	188	r	r	ohrswt	 71.26	  61.21	ohrswt	Random	280	0	1.00
1438008566.056	5307	2	3	249	s	s	ohrswt	 71.26	  61.21	ohrswt	Random	529	0	1.00
1438008566.243	5307	2	4	188	w	w	ohrswt	 71.26	  61.21	ohrswt	Random	717	0	1.00
1438008566.368	5307	2	5	125	t	t	ohrswt	 71.26	  61.21	ohrswt	Random	842	0	1.00
1438008568.864	5307	3	0	0	b	b	blpsdt	 62.05	  94.43	blpsdt	Random	0	0	1.00
1438008568.958	5307	3	1	93	l	l	blpsdt	 62.05	  94.43	blpsdt	Random	93	0	1.00
1438008569.239	5307	3	2	282	p	p	blpsdt	 62.05	  94.43	blpsdt	Random	375	0	1.00
1438008569.457	5307	3	3	217	s	s	blpsdt	 62.05	  94.43	blpsdt	Random	592	0	1.00
1438008569.551	5307	3	4	95	d	d	blpsdt	 62.05	  94.43	blpsdt	Random	687	0	1.00
1438008569.831	5307	3	5	280	t	t	blpsdt	 62.05	  94.43	blpsdt	Random	967	0	1.00
1438008571.142	5307	4	0	0	k	k	knldkl	 87.46	  64.57	knldkl	Random	0	0	1.00
1438008571.329	5307	4	1	187	n	n	knldkl	 87.46	  64.57	knldkl	Random	187	0	1.00
1438008571.423	5307	4	2	94	l	l	knldkl	 87.46	  64.57	knldkl	Random	281	0	1.00
1438008571.641	5307	4	3	218	d	d	knldkl	 87.46	  64.57	knldkl	Random	499	0	1.00
1438008571.766	5307	4	4	125	k	k	knldkl	 87.46	  64.57	knldkl	Random	624	0	1.00
1438008571.828	5307	4	5	62	l	l	knldkl	 87.46	  64.57	knldkl	Random	686	0	1.00
1438008573.232	5307	5	0	0	y	y	yrchgp	 83.68	  83.91	yrchgp	Random	0	0	1.00
1438008573.326	5307	5	1	93	r	r	yrchgp	 83.68	  83.91	yrchgp	Random	93	0	1.00
1438008573.575	5307	5	2	249	c	c	yrchgp	 83.68	  83.91	yrchgp	Random	342	0	1.00
1438008573.638	5307	5	3	63	h	h	yrchgp	 83.68	  83.91	yrchgp	Random	405	0	1.00
1438008573.856	5307	5	4	218	g	g	yrchgp	 83.68	  83.91	yrchgp	Random	623	0	1.00
1438008573.95	5307	5	5	94	p	p	yrchgp	 83.68	  83.91	yrchgp	Random	717	0	1.00
1438008575.541	5307	6	0	0	k	k	khpzgp	 71.26	  75.08	khpzgp	Random	0	0	1.00
1438008575.728	5307	6	1	187	h	h	khpzgp	 71.26	  75.08	khpzgp	Random	187	0	1.00
1438008575.791	5307	6	2	63	p	p	khpzgp	 71.26	  75.08	khpzgp	Random	250	0	1.00
1438008576.009	5307	6	3	218	z	z	khpzgp	 71.26	  75.08	khpzgp	Random	468	0	1.00
1438008576.259	5307	6	4	250	g	g	khpzgp	 71.26	  75.08	khpzgp	Random	718	0	1.00
1438008576.383	5307	6	5	124	p	p	khpzgp	 71.26	  75.08	khpzgp	Random	842	0	1.00
1438008577.756	5307	7	0	0	y	y	yadgnv	 56.60	 163.98	yadgnv	Random	0	0	1.00
1438008577.881	5307	7	1	125	a	a	yadgnv	 56.60	 163.98	yadgnv	Random	125	0	1.00
1438008578.037	5307	7	2	155	d	d	yadgnv	 56.60	 163.98	yadgnv	Random	280	0	1.00
1438008578.536	5307	7	3	499	g	g	yadgnv	 56.60	 163.98	yadgnv	Random	779	0	1.00
1438008578.63	5307	7	4	95	n	n	yadgnv	 56.60	 163.98	yadgnv	Random	874	0	1.00
1438008578.817	5307	7	5	186	v	v	yadgnv	 56.60	 163.98	yadgnv	Random	1060	0	1.00
1438008580.377	5307	8	0	0	v	v	vwmbqq	 58.31	  86.98	vwmbqq	Random	0	0	1.00
1438008580.502	5307	8	1	125	w	w	vwmbqq	 58.31	  86.98	vwmbqq	Random	125	0	1.00
1438008580.627	5307	8	2	125	m	m	vwmbqq	 58.31	  86.98	vwmbqq	Random	250	0	1.00
1438008580.907	5307	8	3	279	b	b	vwmbqq	 58.31	  86.98	vwmbqq	Random	529	0	1.00
1438008581.219	5307	8	4	313	q	q	vwmbqq	 58.31	  86.98	vwmbqq	Random	842	0	1.00
1438008581.407	5307	8	5	187	q	q	vwmbqq	 58.31	  86.98	vwmbqq	Random	1029	0	1.00
1438008582.499	5307	9	0	0	e	e	evvphq	 74.07	  40.07	evvphq	Random	0	0	1.00
1438008582.717	5307	9	1	217	v	v	evvphq	 74.07	  40.07	evvphq	Random	217	0	1.00
1438008582.904	5307	9	2	187	v	v	evvphq	 74.07	  40.07	evvphq	Random	404	0	1.00
1438008583.06	5307	9	3	156	p	p	evvphq	 74.07	  40.07	evvphq	Random	560	0	1.00
1438008583.185	5307	9	4	125	h	h	evvphq	 74.07	  40.07	evvphq	Random	685	0	1.00
1438008583.31	5307	9	5	125	q	q	evvphq	 74.07	  40.07	evvphq	Random	810	0	1.00
1438008584.651	5307	10	0	0	j	j	jdlwbu	 58.31	 172.43	jdlwbu	Random	0	0	1.00
1438008584.745	5307	10	1	93	d	d	jdlwbu	 58.31	 172.43	jdlwbu	Random	93	0	1.00
1438008584.87	5307	10	2	125	l	l	jdlwbu	 58.31	 172.43	jdlwbu	Random	218	0	1.00
1438008585.088	5307	10	3	219	w	w	jdlwbu	 58.31	 172.43	jdlwbu	Random	437	0	1.00
1438008585.588	5307	10	4	500	b	b	jdlwbu	 58.31	 172.43	jdlwbu	Random	937	0	1.00
1438008585.681	5307	10	5	92	u	u	jdlwbu	 58.31	 172.43	jdlwbu	Random	1029	0	1.00
1438008586.929	5307	11	0	0	p	p	psdrwk	 58.25	  60.54	psdrwk	Random	0	0	1.00
1438008587.116	5307	11	1	187	s	s	psdrwk	 58.25	  60.54	psdrwk	Random	187	0	1.00
1438008587.304	5307	11	2	188	d	d	psdrwk	 58.25	  60.54	psdrwk	Random	375	0	1.00
1438008587.584	5307	11	3	280	r	r	psdrwk	 58.25	  60.54	psdrwk	Random	655	0	1.00
1438008587.709	5307	11	4	125	w	w	psdrwk	 58.25	  60.54	psdrwk	Random	780	0	1.00
1438008587.959	5307	11	5	250	k	k	psdrwk	 58.25	  60.54	psdrwk	Random	1030	0	1.00
1438008589.238	5307	12	0	0	d	d	dfzoua	 54.95	 173.68	dfzoua	Random	0	0	1.00
1438008589.425	5307	12	1	187	f	f	dfzoua	 54.95	 173.68	dfzoua	Random	187	0	1.00
1438008589.737	5307	12	2	312	z	z	dfzoua	 54.95	 173.68	dfzoua	Random	499	0	1.00
1438008590.205	5307	12	3	468	o	o	dfzoua	 54.95	 173.68	dfzoua	Random	967	0	1.00
1438008590.268	5307	12	4	62	u	u	dfzoua	 54.95	 173.68	dfzoua	Random	1029	0	1.00
1438008590.33	5307	12	5	63	a	a	dfzoua	 54.95	 173.68	dfzoua	Random	1092	0	1.00
1438008591.609	5307	13	0	0	v	v	varawn	 64.10	 126.35	varawn	Random	0	0	1.00
1438008591.734	5307	13	1	125	a	a	varawn	 64.10	 126.35	varawn	Random	125	0	1.00
1438008591.921	5307	13	2	187	r	r	varawn	 64.10	 126.35	varawn	Random	312	0	1.00
1438008592.015	5307	13	3	94	a	a	varawn	 64.10	 126.35	varawn	Random	406	0	1.00
1438008592.42	5307	13	4	405	w	w	varawn	 64.10	 126.35	varawn	Random	811	0	1.00
1438008592.545	5307	13	5	125	n	n	varawn	 64.10	 126.35	varawn	Random	936	0	1.00
1438008594.76	5307	14	0	0	o	o	odkfey	 71.26	  36.23	odkfey	Random	0	0	1.00
1438008594.885	5307	14	1	125	d	d	odkfey	 71.26	  36.23	odkfey	Random	125	0	1.00
1438008595.041	5307	14	2	155	k	k	odkfey	 71.26	  36.23	odkfey	Random	280	0	1.00
