input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1440587646.201	915322	0	0	0	d	d	dawuva	 21.61	 268.82	dawuva	Random	0	0	0.75
1440587646.389	915322	0	1	187	a	a	dawuva	 21.61	 268.82	dawuva	Random	187	0	0.75
1440587646.919	915322	0	2	530	w	w	dawuva	 21.61	 268.82	dawuva	Random	717	0	0.75
1440587647.418	915322	0	3	500	u	u	dawuva	 21.61	 268.82	dawuva	Random	1217	0	0.75
1440587648.167	915322	0	4	749	n	n	dawuva	 21.61	 268.82	dawuva	Random	1966	0	0.75
1440587648.791	915322	0	5	623		BackSpace	dawuva	 21.61	 268.82	dawuva	Random	2589	0	0.75
1440587648.916	915322	0	6	125	v	v	dawuva	 21.61	 268.82	dawuva	Random	2714	0	0.75
1440587648.978	915322	0	7	62	a	a	dawuva	 21.61	 268.82	dawuva	Random	2776	0	0.75
1440587650.103	915322	1	0	0	j	j	jvhslb	 33.15	 178.62	jvhslb	Random	0	0	1.00
1440587650.509	915322	1	1	406	v	v	jvhslb	 33.15	 178.62	jvhslb	Random	406	0	1.00
1440587651.164	915322	1	2	655	h	h	jvhslb	 33.15	 178.62	jvhslb	Random	1061	0	1.00
1440587651.383	915322	1	3	218	s	s	jvhslb	 33.15	 178.62	jvhslb	Random	1279	0	1.00
1440587651.663	915322	1	4	281	l	l	jvhslb	 33.15	 178.62	jvhslb	Random	1560	0	1.00
1440587651.913	915322	1	5	250	b	b	jvhslb	 33.15	 178.62	jvhslb	Random	1810	0	1.00
1440587653.348	915322	2	0	0	q	q	qslpag	 35.63	 136.52	qslpag	Random	0	0	1.00
1440587653.723	915322	2	1	375	s	s	qslpag	 35.63	 136.52	qslpag	Random	375	0	1.00
1440587654.097	915322	2	2	373	l	l	qslpag	 35.63	 136.52	qslpag	Random	748	0	1.00
1440587654.596	915322	2	3	499	p	p	qslpag	 35.63	 136.52	qslpag	Random	1247	0	1.00
1440587654.721	915322	2	4	125	a	a	qslpag	 35.63	 136.52	qslpag	Random	1372	0	1.00
1440587655.033	915322	2	5	312	g	g	qslpag	 35.63	 136.52	qslpag	Random	1684	0	1.00
1440587656.063	915322	3	0	0	p	p	pshegog	 46.18	 130.52	pshegog	Random	0	0	1.00
1440587656.406	915322	3	1	342	s	s	pshegog	 46.18	 130.52	pshegog	Random	342	0	1.00
1440587656.749	915322	3	2	344	h	h	pshegog	 46.18	 130.52	pshegog	Random	686	0	1.00
1440587656.905	915322	3	3	156	e	e	pshegog	 46.18	 130.52	pshegog	Random	842	0	1.00
1440587657.342	915322	3	4	437	g	g	pshegog	 46.18	 130.52	pshegog	Random	1279	0	1.00
1440587657.467	915322	3	5	125	o	o	pshegog	 46.18	 130.52	pshegog	Random	1404	0	1.00
1440587657.623	915322	3	6	155	g	g	pshegog	 46.18	 130.52	pshegog	Random	1559	0	1.00
1440587658.777	915322	4	0	0	h	h	hyohcy	 40.05	 161.16	hyohcy	Random	0	0	1.00
1440587659.027	915322	4	1	250	y	y	hyohcy	 40.05	 161.16	hyohcy	Random	250	0	1.00
1440587659.339	915322	4	2	312	o	o	hyohcy	 40.05	 161.16	hyohcy	Random	562	0	1.00
1440587659.9	915322	4	3	561	h	h	hyohcy	 40.05	 161.16	hyohcy	Random	1123	0	1.00
1440587660.15	915322	4	4	250	c	c	hyohcy	 40.05	 161.16	hyohcy	Random	1373	0	1.00
1440587660.275	915322	4	5	125	y	y	hyohcy	 40.05	 161.16	hyohcy	Random	1498	0	1.00
1440587661.554	915322	5	0	0	g	g	gvjbhj	 22.89	 141.96	gvjbhj	Random	0	0	0.75
1440587661.803	915322	5	1	249	v	v	gvjbhj	 22.89	 141.96	gvjbhj	Random	249	0	0.75
1440587662.365	915322	5	2	562	j	j	gvjbhj	 22.89	 141.96	gvjbhj	Random	811	0	0.75
1440587662.927	915322	5	3	562	b	b	gvjbhj	 22.89	 141.96	gvjbhj	Random	1373	0	0.75
1440587663.332	915322	5	4	405	h	h	gvjbhj	 22.89	 141.96	gvjbhj	Random	1778	0	0.75
1440587663.613	915322	5	5	281	l	l	gvjbhj	 22.89	 141.96	gvjbhj	Random	2059	0	0.75
1440587663.956	915322	5	6	343		BackSpace	gvjbhj	 22.89	 141.96	gvjbhj	Random	2402	0	0.75
1440587664.175	915322	5	7	219	j	j	gvjbhj	 22.89	 141.96	gvjbhj	Random	2621	0	0.75
1440587665.267	915322	6	0	0	o	o	odcdpu	 45.84	 104.75	odcdpu	Random	0	0	1.00
1440587665.454	915322	6	1	187	d	d	odcdpu	 45.84	 104.75	odcdpu	Random	187	0	1.00
1440587665.735	915322	6	2	280	c	c	odcdpu	 45.84	 104.75	odcdpu	Random	467	0	1.00
1440587666.109	915322	6	3	375	d	d	odcdpu	 45.84	 104.75	odcdpu	Random	842	0	1.00
1440587666.452	915322	6	4	342	p	p	odcdpu	 45.84	 104.75	odcdpu	Random	1184	0	1.00
1440587666.577	915322	6	5	125	u	u	odcdpu	 45.84	 104.75	odcdpu	Random	1309	0	1.00
1440587667.607	915322	7	0	0	b	b	bsrpqj	 29.15	 126.05	bsrpqj	Random	0	0	1.00
1440587667.919	915322	7	1	311	s	s	bsrpqj	 29.15	 126.05	bsrpqj	Random	311	0	1.00
1440587668.199	915322	7	2	280	r	r	bsrpqj	 29.15	 126.05	bsrpqj	Random	591	0	1.00
1440587668.667	915322	7	3	468	p	p	bsrpqj	 29.15	 126.05	bsrpqj	Random	1059	0	1.00
1440587669.26	915322	7	4	593	q	q	bsrpqj	 29.15	 126.05	bsrpqj	Random	1652	0	1.00
1440587669.666	915322	7	5	406	j	j	bsrpqj	 29.15	 126.05	bsrpqj	Random	2058	0	1.00
1440587670.758	915322	8	0	0	o	o	oxbcqh	 24.66	 136.66	oxbcqh	Random	0	0	0.75
1440587670.976	915322	8	1	218	x	x	oxbcqh	 24.66	 136.66	oxbcqh	Random	218	0	0.75
1440587671.257	915322	8	2	281	b	b	oxbcqh	 24.66	 136.66	oxbcqh	Random	499	0	0.75
1440587671.663	915322	8	3	406	c	c	oxbcqh	 24.66	 136.66	oxbcqh	Random	905	0	0.75
1440587672.037	915322	8	4	374	h	h	oxbcqh	 24.66	 136.66	oxbcqh	Random	1279	0	0.75
1440587672.63	915322	8	5	593		BackSpace	oxbcqh	 24.66	 136.66	oxbcqh	Random	1872	0	0.75
1440587672.817	915322	8	6	187	q	q	oxbcqh	 24.66	 136.66	oxbcqh	Random	2059	0	0.75
1440587673.191	915322	8	7	374	h	h	oxbcqh	 24.66	 136.66	oxbcqh	Random	2433	0	0.75
1440587674.315	915322	9	0	0	r	r	vrutaa	 32.63	  96.78	vrutaa	Random	0	0	0.75
1440587674.689	915322	9	1	373		BackSpace	vrutaa	 32.63	  96.78	vrutaa	Random	373	0	0.75
1440587674.876	915322	9	2	187	v	v	vrutaa	 32.63	  96.78	vrutaa	Random	560	0	0.75
1440587675.095	915322	9	3	219	r	r	vrutaa	 32.63	  96.78	vrutaa	Random	779	0	0.75
1440587675.438	915322	9	4	343	u	u	vrutaa	 32.63	  96.78	vrutaa	Random	1122	0	0.75
1440587675.625	915322	9	5	187	t	t	vrutaa	 32.63	  96.78	vrutaa	Random	1309	0	0.75
1440587675.999	915322	9	6	375	a	a	vrutaa	 32.63	  96.78	vrutaa	Random	1684	0	0.75
1440587676.155	915322	9	7	155	a	a	vrutaa	 32.63	  96.78	vrutaa	Random	1839	0	0.75
1440587677.06	915322	10	0	0	p	p	prtowz	 40.90	 117.89	prtowz	Random	0	0	1.00
1440587677.216	915322	10	1	156	r	r	prtowz	 40.90	 117.89	prtowz	Random	156	0	1.00
1440587677.559	915322	10	2	343	t	t	prtowz	 40.90	 117.89	prtowz	Random	499	0	1.00
1440587677.809	915322	10	3	250	o	o	prtowz	 40.90	 117.89	prtowz	Random	749	0	1.00
1440587678.059	915322	10	4	250	w	w	prtowz	 40.90	 117.89	prtowz	Random	999	0	1.00
1440587678.527	915322	10	5	468	z	z	prtowz	 40.90	 117.89	prtowz	Random	1467	0	1.00
1440587679.712	915322	11	0	0	j	j	jaolwh	 25.64	 121.88	jaolwh	Random	0	0	0.75
1440587680.18	915322	11	1	468	o	o	jaolwh	 25.64	 121.88	jaolwh	Random	468	0	0.75
1440587680.586	915322	11	2	406		BackSpace	jaolwh	 25.64	 121.88	jaolwh	Random	874	0	0.75
1440587680.742	915322	11	3	156	a	a	jaolwh	 25.64	 121.88	jaolwh	Random	1030	0	0.75
1440587680.929	915322	11	4	187	o	o	jaolwh	 25.64	 121.88	jaolwh	Random	1217	0	0.75
