input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439797695.173	535385	0	0	0	k	k	khpzgp	 19.83	 442.44	khpzgp	Random	0	0	1.00
1439797695.547	535385	0	1	373	h	h	khpzgp	 19.83	 442.44	khpzgp	Random	373	0	1.00
1439797695.921	535385	0	2	374	p	p	khpzgp	 19.83	 442.44	khpzgp	Random	747	0	1.00
1439797697.294	535385	0	3	1373	z	z	khpzgp	 19.83	 442.44	khpzgp	Random	2120	0	1.00
1439797697.887	535385	0	4	593	g	g	khpzgp	 19.83	 442.44	khpzgp	Random	2713	0	1.00
1439797698.199	535385	0	5	312	p	p	khpzgp	 19.83	 442.44	khpzgp	Random	3025	0	1.00
1439797706.966	535385	1	0	0	o	o	oxbcqh	 12.99	 610.58	oxbcqh	Random	0	0	1.00
1439797708.027	535385	1	1	1060	x	x	oxbcqh	 12.99	 610.58	oxbcqh	Random	1060	0	1.00
1439797708.838	535385	1	2	811	b	b	oxbcqh	 12.99	 610.58	oxbcqh	Random	1871	0	1.00
1439797709.275	535385	1	3	438	c	c	oxbcqh	 12.99	 610.58	oxbcqh	Random	2309	0	1.00
1439797711.178	535385	1	4	1902	q	q	oxbcqh	 12.99	 610.58	oxbcqh	Random	4211	0	1.00
1439797711.584	535385	1	5	407	h	h	oxbcqh	 12.99	 610.58	oxbcqh	Random	4618	0	1.00
1439797720.85	535385	2	0	0	b	b	bnadtv	 40.05	  78.31	bnadtv	Random	0	0	1.00
1439797721.037	535385	2	1	187	n	n	bnadtv	 40.05	  78.31	bnadtv	Random	187	0	1.00
1439797721.287	535385	2	2	250	a	a	bnadtv	 40.05	  78.31	bnadtv	Random	437	0	1.00
1439797721.661	535385	2	3	374	d	d	bnadtv	 40.05	  78.31	bnadtv	Random	811	0	1.00
1439797722.005	535385	2	4	344	t	t	bnadtv	 40.05	  78.31	bnadtv	Random	1155	0	1.00
1439797722.348	535385	2	5	343	v	v	bnadtv	 40.05	  78.31	bnadtv	Random	1498	0	1.00
1439797727.995	535385	3	0	0	b	b	blpsdt	 41.81	 125.59	blpsdt	Random	0	0	1.00
1439797728.151	535385	3	1	156	l	l	blpsdt	 41.81	 125.59	blpsdt	Random	156	0	1.00
