input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1438166379.257	398591	0	0	0	c	c	cxwxyz	 20.68	 229.30	cxwxyz	Random	0	0	1.00
1438166380.005	398591	0	1	748	x	x	cxwxyz	 20.68	 229.30	cxwxyz	Random	748	0	1.00
1438166380.442	398591	0	2	436	w	w	cxwxyz	 20.68	 229.30	cxwxyz	Random	1184	0	1.00
1438166381.316	398591	0	3	875	x	x	cxwxyz	 20.68	 229.30	cxwxyz	Random	2059	0	1.00
1438166381.628	398591	0	4	312	y	y	cxwxyz	 20.68	 229.30	cxwxyz	Random	2371	0	1.00
1438166382.158	398591	0	5	530	z	z	cxwxyz	 20.68	 229.30	cxwxyz	Random	2901	0	1.00
1438166383.937	398591	1	0	0	y	y	yrchgp	 31.55	 246.98	yrchgp	Random	0	0	1.00
1438166384.186	398591	1	1	249	r	r	yrchgp	 31.55	 246.98	yrchgp	Random	249	0	1.00
1438166384.654	398591	1	2	468	c	c	yrchgp	 31.55	 246.98	yrchgp	Random	717	0	1.00
1438166384.748	398591	1	3	93	h	h	yrchgp	 31.55	 246.98	yrchgp	Random	810	0	1.00
1438166385.091	398591	1	4	344	g	g	yrchgp	 31.55	 246.98	yrchgp	Random	1154	0	1.00
1438166385.84	398591	1	5	748	p	p	yrchgp	 31.55	 246.98	yrchgp	Random	1902	0	1.00
1438166387.868	398591	2	0	0	j	j	jaolwh	 46.91	 130.80	jaolwh	Random	0	0	1.00
1438166387.993	398591	2	1	125	a	a	jaolwh	 46.91	 130.80	jaolwh	Random	125	0	1.00
1438166388.18	398591	2	2	187	o	o	jaolwh	 46.91	 130.80	jaolwh	Random	312	0	1.00
1438166388.648	398591	2	3	467	l	l	jaolwh	 46.91	 130.80	jaolwh	Random	779	0	1.00
1438166388.929	398591	2	4	281	w	w	jaolwh	 46.91	 130.80	jaolwh	Random	1060	0	1.00
1438166389.147	398591	2	5	219	h	h	jaolwh	 46.91	 130.80	jaolwh	Random	1279	0	1.00
1438166390.52	398591	3	0	0	k	k	kmrynj	 12.65	 248.90	kmrynj	Random	0	0	0.60
1438166390.769	398591	3	1	249	m	m	kmrynj	 12.65	 248.90	kmrynj	Random	249	0	0.60
1438166391.269	398591	3	2	500	r	r	kmrynj	 12.65	 248.90	kmrynj	Random	749	0	0.60
1438166391.674	398591	3	3	405	y	y	kmrynj	 12.65	 248.90	kmrynj	Random	1154	0	0.60
1438166392.173	398591	3	4	499	n	n	kmrynj	 12.65	 248.90	kmrynj	Random	1653	0	0.60
1438166392.829	398591	3	5	656	h	h	kmrynj	 12.65	 248.90	kmrynj	Random	2309	0	0.60
1438166393.671	398591	3	6	842		BackSpace	kmrynj	 12.65	 248.90	kmrynj	Random	3151	0	0.60
1438166393.983	398591	3	7	312	g	g	kmrynj	 12.65	 248.90	kmrynj	Random	3463	0	0.60
1438166394.95	398591	3	8	967		BackSpace	kmrynj	 12.65	 248.90	kmrynj	Random	4430	0	0.60
