input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1437741048.026	250694	0	0	0	j	j	jaolwh	 28.72	 270.54	jaolwh	Random	0	0	1.00
1437741048.369	250694	0	1	342	a	a	jaolwh	 28.72	 270.54	jaolwh	Random	342	0	1.00
1437741048.587	250694	0	2	218	o	o	jaolwh	 28.72	 270.54	jaolwh	Random	560	0	1.00
1437741048.806	250694	0	3	219	l	l	jaolwh	 28.72	 270.54	jaolwh	Random	779	0	1.00
1437741049.679	250694	0	4	873	w	w	jaolwh	 28.72	 270.54	jaolwh	Random	1652	0	1.00
1437741050.116	250694	0	5	437	h	h	jaolwh	 28.72	 270.54	jaolwh	Random	2089	0	1.00
1437741054.765	250694	1	0	0	k	k	krmjnh	 32.03	 144.55	krmjnh	Random	0	0	1.00
1437741055.202	250694	1	1	436	r	r	krmjnh	 32.03	 144.55	krmjnh	Random	436	0	1.00
1437741055.42	250694	1	2	218	m	m	krmjnh	 32.03	 144.55	krmjnh	Random	654	0	1.00
1437741055.734	250694	1	3	314	j	j	krmjnh	 32.03	 144.55	krmjnh	Random	968	0	1.00
1437741056.046	250694	1	4	312	n	n	krmjnh	 32.03	 144.55	krmjnh	Random	1280	0	1.00
1437741056.639	250694	1	5	593	h	h	krmjnh	 32.03	 144.55	krmjnh	Random	1873	0	1.00
1437741059.697	250694	2	0	0	v	v	vrutaa	 48.12	  76.25	vrutaa	Random	0	0	1.00
1437741060.04	250694	2	1	342	r	r	vrutaa	 48.12	  76.25	vrutaa	Random	342	0	1.00
1437741060.321	250694	2	2	282	u	u	vrutaa	 48.12	  76.25	vrutaa	Random	624	0	1.00
1437741060.601	250694	2	3	280	t	t	vrutaa	 48.12	  76.25	vrutaa	Random	904	0	1.00
1437741060.789	250694	2	4	188	a	a	vrutaa	 48.12	  76.25	vrutaa	Random	1092	0	1.00
1437741060.945	250694	2	5	155	a	a	vrutaa	 48.12	  76.25	vrutaa	Random	1247	0	1.00
1437741065.25	250694	3	0	0	v	v	vrphmee	 39.11	 110.35	vrphmee	Random	0	0	1.00
1437741065.625	250694	3	1	375	r	r	vrphmee	 39.11	 110.35	vrphmee	Random	375	0	1.00
1437741065.937	250694	3	2	312	p	p	vrphmee	 39.11	 110.35	vrphmee	Random	687	0	1.00
1437741066.405	250694	3	3	467	h	h	vrphmee	 39.11	 110.35	vrphmee	Random	1154	0	1.00
1437741066.717	250694	3	4	313	m	m	vrphmee	 39.11	 110.35	vrphmee	Random	1467	0	1.00
1437741066.935	250694	3	5	217	e	e	vrphmee	 39.11	 110.35	vrphmee	Random	1684	0	1.00
1437741067.091	250694	3	6	157	e	e	vrphmee	 39.11	 110.35	vrphmee	Random	1841	0	1.00
1437741071.397	250694	4	0	0	a	a	awjnwd	 27.10	  60.59	awjnwd	Random	0	0	1.00
1437741071.74	250694	4	1	342	w	w	awjnwd	 27.10	  60.59	awjnwd	Random	342	0	1.00
1437741072.239	250694	4	2	500	j	j	awjnwd	 27.10	  60.59	awjnwd	Random	842	0	1.00
1437741072.676	250694	4	3	437	n	n	awjnwd	 27.10	  60.59	awjnwd	Random	1279	0	1.00
1437741073.144	250694	4	4	467	w	w	awjnwd	 27.10	  60.59	awjnwd	Random	1746	0	1.00
1437741073.612	250694	4	5	468	d	d	awjnwd	 27.10	  60.59	awjnwd	Random	2214	0	1.00
1437741077.137	250694	5	0	0	n	n	nwmxxf	 19.43	 596.48	nwmxxf	Random	0	0	1.00
1437741077.574	250694	5	1	436	w	w	nwmxxf	 19.43	 596.48	nwmxxf	Random	436	0	1.00
1437741078.073	250694	5	2	499	m	m	nwmxxf	 19.43	 596.48	nwmxxf	Random	935	0	1.00
1437741079.727	250694	5	3	1654	x	x	nwmxxf	 19.43	 596.48	nwmxxf	Random	2589	0	1.00
1437741079.852	250694	5	4	125	x	x	nwmxxf	 19.43	 596.48	nwmxxf	Random	2714	0	1.00
1437741080.226	250694	5	5	374	f	f	nwmxxf	 19.43	 596.48	nwmxxf	Random	3088	0	1.00
1437741082.785	250694	6	0	0	v	v	varawz	 31.55	 241.39	varawz	Random	0	0	1.00
1437741082.941	250694	6	1	155	a	a	varawz	 31.55	 241.39	varawz	Random	155	0	1.00
1437741083.19	250694	6	2	249	r	r	varawz	 31.55	 241.39	varawz	Random	404	0	1.00
1437741083.596	250694	6	3	406	a	a	varawz	 31.55	 241.39	varawz	Random	810	0	1.00
1437741083.908	250694	6	4	312	w	w	varawz	 31.55	 241.39	varawz	Random	1122	0	1.00
1437741084.688	250694	6	5	780	z	z	varawz	 31.55	 241.39	varawz	Random	1902	0	1.00
1437741088.619	250694	7	0	0	k	k	khgpzgp	 18.03	 468.26	khgpzgp	Random	0	0	1.00
1437741089.212	250694	7	1	592	h	h	khgpzgp	 18.03	 468.26	khgpzgp	Random	592	0	1.00
1437741089.586	250694	7	2	375	g	g	khgpzgp	 18.03	 468.26	khgpzgp	Random	967	0	1.00
1437741089.992	250694	7	3	406	p	p	khgpzgp	 18.03	 468.26	khgpzgp	Random	1373	0	1.00
1437741091.583	250694	7	4	1590	z	z	khgpzgp	 18.03	 468.26	khgpzgp	Random	2963	0	1.00
1437741092.238	250694	7	5	655	g	g	khgpzgp	 18.03	 468.26	khgpzgp	Random	3618	0	1.00
1437741092.613	250694	7	6	375	p	p	khgpzgp	 18.03	 468.26	khgpzgp	Random	3993	0	1.00
1437741097.699	250694	8	0	0	j	j	jkgaqe	 12.02	 913.98	jkgaqe	Random	0	0	1.00
1437741098.791	250694	8	1	1092	k	k	jkgaqe	 12.02	 913.98	jkgaqe	Random	1092	0	1.00
1437741101.256	250694	8	2	2465	g	g	jkgaqe	 12.02	 913.98	jkgaqe	Random	3557	0	1.00
1437741101.412	250694	8	3	156	a	a	jkgaqe	 12.02	 913.98	jkgaqe	Random	3713	0	1.00
1437741102.379	250694	8	4	967	q	q	jkgaqe	 12.02	 913.98	jkgaqe	Random	4680	0	1.00
1437741102.691	250694	8	5	312	e	e	jkgaqe	 12.02	 913.98	jkgaqe	Random	4992	0	1.00
