input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1438930635.292	438454	0	0	0	p	p	pshegog	 69.97	  61.53	pshegog	Random	0	0	1.00
1438930635.479	438454	0	1	187	s	s	pshegog	 69.97	  61.53	pshegog	Random	187	0	1.00
1438930635.604	438454	0	2	125	h	h	pshegog	 69.97	  61.53	pshegog	Random	312	0	1.00
1438930635.791	438454	0	3	186	e	e	pshegog	 69.97	  61.53	pshegog	Random	498	0	1.00
1438930636.072	438454	0	4	281	g	g	pshegog	 69.97	  61.53	pshegog	Random	779	0	1.00
1438930636.197	438454	0	5	125	o	o	pshegog	 69.97	  61.53	pshegog	Random	904	0	1.00
1438930636.321	438454	0	6	125	g	g	pshegog	 69.97	  61.53	pshegog	Random	1029	0	1.00
1438930638.505	438454	1	0	0	y	y	yrchgp	 48.12	 117.06	yrchgp	Random	0	0	1.00
1438930638.661	438454	1	1	155	r	r	yrchgp	 48.12	 117.06	yrchgp	Random	155	0	1.00
1438930638.942	438454	1	2	281	c	c	yrchgp	 48.12	 117.06	yrchgp	Random	436	0	1.00
1438930639.098	438454	1	3	156	h	h	yrchgp	 48.12	 117.06	yrchgp	Random	592	0	1.00
1438930639.535	438454	1	4	437	g	g	yrchgp	 48.12	 117.06	yrchgp	Random	1029	0	1.00
1438930639.753	438454	1	5	218	p	p	yrchgp	 48.12	 117.06	yrchgp	Random	1247	0	1.00
1438930641.064	438454	2	0	0	o	o	oahpnh	 48.08	 132.58	oahpnh	Random	0	0	1.00
1438930641.189	438454	2	1	125	a	a	oahpnh	 48.08	 132.58	oahpnh	Random	125	0	1.00
1438930641.313	438454	2	2	124	h	h	oahpnh	 48.08	 132.58	oahpnh	Random	249	0	1.00
1438930641.625	438454	2	3	312	p	p	oahpnh	 48.08	 132.58	oahpnh	Random	561	0	1.00
1438930641.875	438454	2	4	250	n	n	oahpnh	 48.08	 132.58	oahpnh	Random	811	0	1.00
1438930642.312	438454	2	5	437	h	h	oahpnh	 48.08	 132.58	oahpnh	Random	1248	0	1.00
1438930643.529	438454	3	0	0	o	o	ophzwt	 37.01	  92.42	ophzwt	Random	0	0	1.00
1438930643.747	438454	3	1	217	p	p	ophzwt	 37.01	  92.42	ophzwt	Random	217	0	1.00
1438930644.028	438454	3	2	282	h	h	ophzwt	 37.01	  92.42	ophzwt	Random	499	0	1.00
1438930644.465	438454	3	3	436	z	z	ophzwt	 37.01	  92.42	ophzwt	Random	935	0	1.00
1438930644.87	438454	3	4	405	w	w	ophzwt	 37.01	  92.42	ophzwt	Random	1340	0	1.00
1438930645.151	438454	3	5	281	t	t	ophzwt	 37.01	  92.42	ophzwt	Random	1621	0	1.00
1438930646.524	438454	4	0	0	v	v	vrphmee	 32.48	 371.67	vrphmee	Random	0	0	1.00
1438930646.773	438454	4	1	249	r	r	vrphmee	 32.48	 371.67	vrphmee	Random	249	0	1.00
1438930646.992	438454	4	2	219	p	p	vrphmee	 32.48	 371.67	vrphmee	Random	468	0	1.00
1438930648.115	438454	4	3	1123	h	h	vrphmee	 32.48	 371.67	vrphmee	Random	1591	0	1.00
1438930648.396	438454	4	4	280	m	m	vrphmee	 32.48	 371.67	vrphmee	Random	1871	0	1.00
1438930648.552	438454	4	5	157	e	e	vrphmee	 32.48	 371.67	vrphmee	Random	2028	0	1.00
1438930648.741	438454	4	6	189	e	e	vrphmee	 32.48	 371.67	vrphmee	Random	2217	0	1.00
1438930649.927	438454	5	0	0	k	k	kmrynj	 25.31	 555.99	kmrynj	Random	0	0	1.00
1438930650.145	438454	5	1	217	m	m	kmrynj	 25.31	 555.99	kmrynj	Random	217	0	1.00
1438930650.363	438454	5	2	218	r	r	kmrynj	 25.31	 555.99	kmrynj	Random	435	0	1.00
1438930650.551	438454	5	3	189	y	y	kmrynj	 25.31	 555.99	kmrynj	Random	624	0	1.00
1438930650.831	438454	5	4	280	n	n	kmrynj	 25.31	 555.99	kmrynj	Random	904	0	1.00
1438930652.298	438454	5	5	1467	j	j	kmrynj	 25.31	 555.99	kmrynj	Random	2371	0	1.00
1438930653.702	438454	6	0	0	v	v	varawz	 48.08	 173.90	varawz	Random	0	0	1.00
1438930653.858	438454	6	1	156	a	a	varawz	 48.08	 173.90	varawz	Random	156	0	1.00
1438930653.983	438454	6	2	125	r	r	varawz	 48.08	 173.90	varawz	Random	281	0	1.00
1438930654.076	438454	6	3	93	a	a	varawz	 48.08	 173.90	varawz	Random	374	0	1.00
1438930654.544	438454	6	4	468	w	w	varawz	 48.08	 173.90	varawz	Random	842	0	1.00
1438930654.95	438454	6	5	406	z	z	varawz	 48.08	 173.90	varawz	Random	1248	0	1.00
1438930656.167	438454	7	0	0	j	j	jflurm'	 39.80	 138.88	jflurm'	Random	0	0	1.00
1438930656.354	438454	7	1	187	f	f	jflurm'	 39.80	 138.88	jflurm'	Random	187	0	1.00
1438930656.603	438454	7	2	248	l	l	jflurm'	 39.80	 138.88	jflurm'	Random	435	0	1.00
1438930656.915	438454	7	3	312	u	u	jflurm'	 39.80	 138.88	jflurm'	Random	747	0	1.00
1438930657.103	438454	7	4	188	r	r	jflurm'	 39.80	 138.88	jflurm'	Random	935	0	1.00
1438930657.664	438454	7	5	561	m	m	jflurm'	 39.80	 138.88	jflurm'	Random	1496	0	1.00
1438930657.976	438454	7	6	313	'	quoteright	jflurm'	 39.80	 138.88	jflurm'	Random	1809	0	1.00
1438930659.162	438454	8	0	0	j	j	jdlwbu	 34.97	 150.74	jdlwbu	Random	0	0	1.00
1438930659.38	438454	8	1	218	d	d	jdlwbu	 34.97	 150.74	jdlwbu	Random	218	0	1.00
1438930659.848	438454	8	2	468	l	l	jdlwbu	 34.97	 150.74	jdlwbu	Random	686	0	1.00
1438930660.347	438454	8	3	498	w	w	jdlwbu	 34.97	 150.74	jdlwbu	Random	1184	0	1.00
1438930660.722	438454	8	4	375	b	b	jdlwbu	 34.97	 150.74	jdlwbu	Random	1559	0	1.00
1438930660.878	438454	8	5	157	u	u	jdlwbu	 34.97	 150.74	jdlwbu	Random	1716	0	1.00
1438930662.188	438454	9	0	0	g	g	gjrpqt	 27.87	 247.54	gjrpqt	Random	0	0	1.00
1438930662.906	438454	9	1	717	j	j	gjrpqt	 27.87	 247.54	gjrpqt	Random	717	0	1.00
1438930663.155	438454	9	2	250	r	r	gjrpqt	 27.87	 247.54	gjrpqt	Random	967	0	1.00
1438930663.405	438454	9	3	250	p	p	gjrpqt	 27.87	 247.54	gjrpqt	Random	1217	0	1.00
1438930664.091	438454	9	4	686	q	q	gjrpqt	 27.87	 247.54	gjrpqt	Random	1903	0	1.00
1438930664.341	438454	9	5	250	t	t	gjrpqt	 27.87	 247.54	gjrpqt	Random	2153	0	1.00
1438930665.901	438454	10	0	0	z	z	zfcspx	 35.63	  83.74	zfcspx	Random	0	0	1.00
1438930666.151	438454	10	1	250	f	f	zfcspx	 35.63	  83.74	zfcspx	Random	250	0	1.00
1438930666.494	438454	10	2	342	c	c	zfcspx	 35.63	  83.74	zfcspx	Random	592	0	1.00
1438930666.962	438454	10	3	468	s	s	zfcspx	 35.63	  83.74	zfcspx	Random	1060	0	1.00
1438930667.305	438454	10	4	344	p	p	zfcspx	 35.63	  83.74	zfcspx	Random	1404	0	1.00
1438930667.586	438454	10	5	280	x	x	zfcspx	 35.63	  83.74	zfcspx	Random	1684	0	1.00
1438930668.74	438454	11	0	0	v	v	vunbgd	 33.73	 194.43	vunbgd	Random	0	0	1.00
1438930668.865	438454	11	1	125	u	u	vunbgd	 33.73	 194.43	vunbgd	Random	125	0	1.00
1438930669.115	438454	11	2	250	n	n	vunbgd	 33.73	 194.43	vunbgd	Random	375	0	1.00
1438930669.583	438454	11	3	467	b	b	vunbgd	 33.73	 194.43	vunbgd	Random	842	0	1.00
1438930670.207	438454	11	4	625	g	g	vunbgd	 33.73	 194.43	vunbgd	Random	1467	0	1.00
1438930670.519	438454	11	5	312	d	d	vunbgd	 33.73	 194.43	vunbgd	Random	1779	0	1.00
1438930671.767	438454	12	0	0	a	a	aekbru	 56.66	  56.58	aekbru	Random	0	0	1.00
1438930671.985	438454	12	1	217	e	e	aekbru	 56.66	  56.58	aekbru	Random	217	0	1.00
1438930672.203	438454	12	2	219	k	k	aekbru	 56.66	  56.58	aekbru	Random	436	0	1.00
1438930672.484	438454	12	3	281	b	b	aekbru	 56.66	  56.58	aekbru	Random	717	0	1.00
1438930672.703	438454	12	4	219	r	r	aekbru	 56.66	  56.58	aekbru	Random	936	0	1.00
1438930672.827	438454	12	5	123	u	u	aekbru	 56.66	  56.58	aekbru	Random	1059	0	1.00
1438930673.982	438454	13	0	0	j	j	jaolwh	 56.60	  55.77	jaolwh	Random	0	0	1.00
1438930674.107	438454	13	1	125	a	a	jaolwh	 56.60	  55.77	jaolwh	Random	125	0	1.00
1438930674.325	438454	13	2	217	o	o	jaolwh	 56.60	  55.77	jaolwh	Random	342	0	1.00
1438930674.543	438454	13	3	218	l	l	jaolwh	 56.60	  55.77	jaolwh	Random	560	0	1.00
1438930674.824	438454	13	4	281	w	w	jaolwh	 56.60	  55.77	jaolwh	Random	841	0	1.00
1438930675.043	438454	13	5	219	h	h	jaolwh	 56.60	  55.77	jaolwh	Random	1060	0	1.00
1438930676.197	438454	14	0	0	u	u	uchedt	 53.48	 141.47	uchedt	Random	0	0	1.00
1438930676.384	438454	14	1	187	c	c	uchedt	 53.48	 141.47	uchedt	Random	187	0	1.00
1438930676.509	438454	14	2	125	h	h	uchedt	 53.48	 141.47	uchedt	Random	312	0	1.00
1438930676.977	438454	14	3	467	e	e	uchedt	 53.48	 141.47	uchedt	Random	779	0	1.00
1438930677.195	438454	14	4	218	d	d	uchedt	 53.48	 141.47	uchedt	Random	997	0	1.00
1438930677.32	438454	14	5	125	t	t	uchedt	 53.48	 141.47	uchedt	Random	1122	0	1.00
1438930678.35	438454	15	0	0	p	p	prtowz	 40.11	 179.51	prtowz	Random	0	0	1.00
1438930678.475	438454	15	1	125	r	r	prtowz	 40.11	 179.51	prtowz	Random	125	0	1.00
1438930678.662	438454	15	2	187	t	t	prtowz	 40.11	 179.51	prtowz	Random	312	0	1.00
1438930679.223	438454	15	3	561	o	o	prtowz	 40.11	 179.51	prtowz	Random	873	0	1.00
1438930679.442	438454	15	4	219	w	w	prtowz	 40.11	 179.51	prtowz	Random	1092	0	1.00
1438930679.847	438454	15	5	404	z	z	prtowz	 40.11	 179.51	prtowz	Random	1496	0	1.00
1438930681.189	438454	16	0	0	v	v	vtljjo	 56.55	  63.95	vtljjo	Random	0	0	1.00
1438930681.407	438454	16	1	218	t	t	vtljjo	 56.55	  63.95	vtljjo	Random	218	0	1.00
1438930681.626	438454	16	2	219	l	l	vtljjo	 56.55	  63.95	vtljjo	Random	437	0	1.00
1438930681.938	438454	16	3	312	j	j	vtljjo	 56.55	  63.95	vtljjo	Random	749	0	1.00
1438930682.094	438454	16	4	156	j	j	vtljjo	 56.55	  63.95	vtljjo	Random	905	0	1.00
1438930682.25	438454	16	5	156	o	o	vtljjo	 56.55	  63.95	vtljjo	Random	1061	0	1.00
1438930683.313	438454	17	0	0	a	a	awnjvd	 24.36	 380.72	awnjvd	Random	0	0	1.00
1438930683.562	438454	17	1	249	w	w	awnjvd	 24.36	 380.72	awnjvd	Random	249	0	1.00
1438930684.217	438454	17	2	655	n	n	awnjvd	 24.36	 380.72	awnjvd	Random	904	0	1.00
1438930685.309	438454	17	3	1092	j	j	awnjvd	 24.36	 380.72	awnjvd	Random	1996	0	1.00
1438930685.559	438454	17	4	250	v	v	awnjvd	 24.36	 380.72	awnjvd	Random	2246	0	1.00
1438930685.777	438454	17	5	217	d	d	awnjvd	 24.36	 380.72	awnjvd	Random	2463	0	1.00
1438930686.869	438454	18	0	0	w	w	weqppe	 44.71	 168.29	weqppe	Random	0	0	1.00
1438930687.119	438454	18	1	250	e	e	weqppe	 44.71	 168.29	weqppe	Random	250	0	1.00
1438930687.649	438454	18	2	529	q	q	weqppe	 44.71	 168.29	weqppe	Random	779	0	1.00
1438930687.961	438454	18	3	313	p	p	weqppe	 44.71	 168.29	weqppe	Random	1092	0	1.00
1438930688.117	438454	18	4	156	p	p	weqppe	 44.71	 168.29	weqppe	Random	1248	0	1.00
1438930688.211	438454	18	5	94	e	e	weqppe	 44.71	 168.29	weqppe	Random	1342	0	1.00
1438930689.303	438454	19	0	0	k	k	khpzgp	 34.97	 143.15	khpzgp	Random	0	0	1.00
