input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1437126143.523	301816	0	0	0	y	y	yadgnv	 25.65	 465.07	yadgnv	Random	0	0	1.00
1437126143.648	301816	0	1	125	a	a	yadgnv	 25.65	 465.07	yadgnv	Random	125	0	1.00
1437126144.272	301816	0	2	624	d	d	yadgnv	 25.65	 465.07	yadgnv	Random	749	0	1.00
1437126144.522	301816	0	3	250	g	g	yadgnv	 25.65	 465.07	yadgnv	Random	999	0	1.00
1437126145.738	301816	0	4	1215	n	n	yadgnv	 25.65	 465.07	yadgnv	Random	2214	0	1.00
1437126145.863	301816	0	5	125	v	v	yadgnv	 25.65	 465.07	yadgnv	Random	2339	0	1.00
1437126148.203	301816	1	0	0	j	j	jvhslb	 26.71	 258.02	jvhslb	Random	0	0	1.00
1437126148.359	301816	1	1	155	v	v	jvhslb	 26.71	 258.02	jvhslb	Random	155	0	1.00
1437126148.609	301816	1	2	250	h	h	jvhslb	 26.71	 258.02	jvhslb	Random	405	0	1.00
1437126149.108	301816	1	3	499	s	s	jvhslb	 26.71	 258.02	jvhslb	Random	904	0	1.00
1437126149.919	301816	1	4	811	l	l	jvhslb	 26.71	 258.02	jvhslb	Random	1715	0	1.00
1437126150.45	301816	1	5	531	b	b	jvhslb	 26.71	 258.02	jvhslb	Random	2246	0	1.00
1437126152.259	301816	2	0	0	s	s	svvphq	 29.14	 318.46	evvphq	Random	0	0.0161290322580645	1.00
1437126152.447	301816	2	1	187	v	v	svvphq	 29.14	 318.46	evvphq	Random	187	0.0161290322580645	1.00
1437126152.665	301816	2	2	218	v	v	svvphq	 29.14	 318.46	evvphq	Random	405	0.0161290322580645	1.00
1437126153.008	301816	2	3	343	p	p	svvphq	 29.14	 318.46	evvphq	Random	748	0.0161290322580645	1.00
1437126153.351	301816	2	4	344	h	h	svvphq	 29.14	 318.46	evvphq	Random	1092	0.0161290322580645	1.00
1437126154.319	301816	2	5	967	q	q	svvphq	 29.14	 318.46	evvphq	Random	2059	0.0161290322580645	1.00
1437126157.969	301816	3	0	0	o	o	ohrswt	 19.43	 224.88	ohrswt	Random	0	0	0.75
1437126158.125	301816	3	1	155	h	h	ohrswt	 19.43	 224.88	ohrswt	Random	155	0	0.75
1437126158.531	301816	3	2	406	r	r	ohrswt	 19.43	 224.88	ohrswt	Random	561	0	0.75
1437126159.217	301816	3	3	686	s	s	ohrswt	 19.43	 224.88	ohrswt	Random	1247	0	0.75
1437126159.435	301816	3	4	218	w	w	ohrswt	 19.43	 224.88	ohrswt	Random	1465	0	0.75
1437126159.747	301816	3	5	312	r	r	ohrswt	 19.43	 224.88	ohrswt	Random	1777	0	0.75
1437126160.434	301816	3	6	687		BackSpace	ohrswt	 19.43	 224.88	ohrswt	Random	2464	0	0.75
1437126161.058	301816	3	7	624	t	t	ohrswt	 19.43	 224.88	ohrswt	Random	3088	0	0.75
1437126165.176	301816	4	0	0	q	q	qslpag	 34.99	  79.53	qslpag	Random	0	0	1.00
1437126165.488	301816	4	1	311	s	s	qslpag	 34.99	  79.53	qslpag	Random	311	0	1.00
1437126165.769	301816	4	2	281	l	l	qslpag	 34.99	  79.53	qslpag	Random	592	0	1.00
1437126166.05	301816	4	3	281	p	p	qslpag	 34.99	  79.53	qslpag	Random	873	0	1.00
1437126166.518	301816	4	4	468	a	a	qslpag	 34.99	  79.53	qslpag	Random	1341	0	1.00
1437126166.892	301816	4	5	374	g	g	qslpag	 34.99	  79.53	qslpag	Random	1715	0	1.00
1437126169.17	301816	5	0	0	v	v	vunbgd	 31.02	 313.06	vunbgd	Random	0	0	1.00
1437126169.263	301816	5	1	92	u	u	vunbgd	 31.02	 313.06	vunbgd	Random	92	0	1.00
1437126169.357	301816	5	2	95	n	n	vunbgd	 31.02	 313.06	vunbgd	Random	187	0	1.00
1437126169.856	301816	5	3	498	b	b	vunbgd	 31.02	 313.06	vunbgd	Random	685	0	1.00
1437126170.262	301816	5	4	407	g	g	vunbgd	 31.02	 313.06	vunbgd	Random	1092	0	1.00
1437126171.104	301816	5	5	842	d	d	vunbgd	 31.02	 313.06	vunbgd	Random	1934	0	1.00
1437126174.021	301816	6	0	0	z	z	zydfzz	 22.35	 408.90	zydfzz	Random	0	0	1.00
1437126174.333	301816	6	1	312	y	y	zydfzz	 22.35	 408.90	zydfzz	Random	312	0	1.00
1437126174.895	301816	6	2	562	d	d	zydfzz	 22.35	 408.90	zydfzz	Random	874	0	1.00
1437126175.332	301816	6	3	437	f	f	zydfzz	 22.35	 408.90	zydfzz	Random	1311	0	1.00
1437126176.549	301816	6	4	1217	z	z	zydfzz	 22.35	 408.90	zydfzz	Random	2528	0	1.00
1437126176.705	301816	6	5	156	z	z	zydfzz	 22.35	 408.90	zydfzz	Random	2684	0	1.00
