input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439302758.958	823773	0	0	0	q	q	qslpag	 29.14	 197.61	qslpag	Random	0	0	0.75
1439302759.176	823773	0	1	218	l	l	qslpag	 29.14	 197.61	qslpag	Random	218	0	0.75
1439302759.706	823773	0	2	530		BackSpace	qslpag	 29.14	 197.61	qslpag	Random	748	0	0.75
1439302759.831	823773	0	3	125	s	s	qslpag	 29.14	 197.61	qslpag	Random	873	0	0.75
1439302760.112	823773	0	4	281	l	l	qslpag	 29.14	 197.61	qslpag	Random	1154	0	0.75
1439302760.705	823773	0	5	592	p	p	qslpag	 29.14	 197.61	qslpag	Random	1746	0	0.75
1439302760.767	823773	0	6	63	a	a	qslpag	 29.14	 197.61	qslpag	Random	1809	0	0.75
1439302761.017	823773	0	7	250	g	g	qslpag	 29.14	 197.61	qslpag	Random	2059	0	0.75
1439302764.542	823773	1	0	0	j	j	jaolwh	 51.99	 107.52	jaolwh	Random	0	0	1.00
1439302764.667	823773	1	1	125	a	a	jaolwh	 51.99	 107.52	jaolwh	Random	125	0	1.00
1439302765.042	823773	1	2	375	o	o	jaolwh	 51.99	 107.52	jaolwh	Random	500	0	1.00
1439302765.229	823773	1	3	187	l	l	jaolwh	 51.99	 107.52	jaolwh	Random	687	0	1.00
1439302765.385	823773	1	4	155	w	w	jaolwh	 51.99	 107.52	jaolwh	Random	842	0	1.00
1439302765.697	823773	1	5	312	h	h	jaolwh	 51.99	 107.52	jaolwh	Random	1154	0	1.00
1439302766.914	823773	2	0	0	v	v	varawz	 51.99	 100.06	varawz	Random	0	0	1.00
1439302767.132	823773	2	1	217	a	a	varawz	 51.99	 100.06	varawz	Random	217	0	1.00
1439302767.257	823773	2	2	125	r	r	varawz	 51.99	 100.06	varawz	Random	342	0	1.00
1439302767.413	823773	2	3	157	a	a	varawz	 51.99	 100.06	varawz	Random	499	0	1.00
1439302767.694	823773	2	4	280	w	w	varawz	 51.99	 100.06	varawz	Random	779	0	1.00
1439302768.068	823773	2	5	375	z	z	varawz	 51.99	 100.06	varawz	Random	1154	0	1.00
1439302769.285	823773	3	0	0	o	o	ophxwt	 33.76	 195.51	ophxwt	Random	0	0	1.00
1439302769.472	823773	3	1	186	p	p	ophxwt	 33.76	 195.51	ophxwt	Random	186	0	1.00
1439302769.815	823773	3	2	343	h	h	ophxwt	 33.76	 195.51	ophxwt	Random	529	0	1.00
1439302770.502	823773	3	3	688	x	x	ophxwt	 33.76	 195.51	ophxwt	Random	1217	0	1.00
1439302770.751	823773	3	4	248	w	w	ophxwt	 33.76	 195.51	ophxwt	Random	1465	0	1.00
1439302771.063	823773	3	5	312	t	t	ophxwt	 33.76	 195.51	ophxwt	Random	1777	0	1.00
1439302772.342	823773	4	0	0	l	l	kmrynj	 12.91	 168.57	kmrynj	Random	0	0	0.43
1439302772.592	823773	4	1	250	,	comma	kmrynj	 12.91	 168.57	kmrynj	Random	250	0	0.43
1439302772.904	823773	4	2	312		BackSpace	kmrynj	 12.91	 168.57	kmrynj	Random	562	0	0.43
1439302773.029	823773	4	3	125		BackSpace	kmrynj	 12.91	 168.57	kmrynj	Random	687	0	0.43
1439302773.247	823773	4	4	217	k	k	kmrynj	 12.91	 168.57	kmrynj	Random	904	0	0.43
1439302773.684	823773	4	5	438	,	comma	kmrynj	 12.91	 168.57	kmrynj	Random	1342	0	0.43
1439302774.183	823773	4	6	499		BackSpace	kmrynj	 12.91	 168.57	kmrynj	Random	1841	0	0.43
1439302774.402	823773	4	7	218	m	m	kmrynj	 12.91	 168.57	kmrynj	Random	2059	0	0.43
1439302774.776	823773	4	8	375	r	r	kmrynj	 12.91	 168.57	kmrynj	Random	2434	0	0.43
1439302775.4	823773	4	9	624	y	y	kmrynj	 12.91	 168.57	kmrynj	Random	3058	0	0.43
1439302775.681	823773	4	10	280	m	m	kmrynj	 12.91	 168.57	kmrynj	Random	3338	0	0.43
1439302776.367	823773	4	11	687		BackSpace	kmrynj	 12.91	 168.57	kmrynj	Random	4025	0	0.43
1439302776.586	823773	4	12	218	n	n	kmrynj	 12.91	 168.57	kmrynj	Random	4243	0	0.43
1439302776.991	823773	4	13	405	j	j	kmrynj	 12.91	 168.57	kmrynj	Random	4648	0	0.43
1439302778.208	823773	5	0	0	d	d	dfzoua	 20.03	 194.89	dfzoua	Random	0	0	0.50
1439302778.395	823773	5	1	187	f	f	dfzoua	 20.03	 194.89	dfzoua	Random	187	0	0.50
1439302779.175	823773	5	2	780	z	z	dfzoua	 20.03	 194.89	dfzoua	Random	967	0	0.50
1439302779.3	823773	5	3	125	z	z	dfzoua	 20.03	 194.89	dfzoua	Random	1092	0	0.50
1439302779.706	823773	5	4	406		BackSpace	dfzoua	 20.03	 194.89	dfzoua	Random	1498	0	0.50
1439302779.955	823773	5	5	248	p	p	dfzoua	 20.03	 194.89	dfzoua	Random	1746	0	0.50
1439302780.267	823773	5	6	313	i	i	dfzoua	 20.03	 194.89	dfzoua	Random	2059	0	0.50
1439302780.579	823773	5	7	312		BackSpace	dfzoua	 20.03	 194.89	dfzoua	Random	2371	0	0.50
1439302780.704	823773	5	8	125		BackSpace	dfzoua	 20.03	 194.89	dfzoua	Random	2496	0	0.50
1439302780.922	823773	5	9	217	o	o	dfzoua	 20.03	 194.89	dfzoua	Random	2713	0	0.50
1439302780.985	823773	5	10	63	u	u	dfzoua	 20.03	 194.89	dfzoua	Random	2776	0	0.50
1439302781.203	823773	5	11	219	a	a	dfzoua	 20.03	 194.89	dfzoua	Random	2995	0	0.50
1439302782.17	823773	6	0	0	å	aring	psdrwk	 15.26	 105.44	psdrwk	Random	0	0	0.43
1439302782.358	823773	6	1	187	s	s	psdrwk	 15.26	 105.44	psdrwk	Random	187	0	0.43
1439302782.826	823773	6	2	468		BackSpace	psdrwk	 15.26	 105.44	psdrwk	Random	655	0	0.43
1439302782.919	823773	6	3	93		BackSpace	psdrwk	 15.26	 105.44	psdrwk	Random	748	0	0.43
1439302783.231	823773	6	4	312	o	o	psdrwk	 15.26	 105.44	psdrwk	Random	1060	0	0.43
1439302783.606	823773	6	5	375		BackSpace	psdrwk	 15.26	 105.44	psdrwk	Random	1435	0	0.43
1439302783.793	823773	6	6	187	p	p	psdrwk	 15.26	 105.44	psdrwk	Random	1622	0	0.43
1439302784.136	823773	6	7	343	s	s	psdrwk	 15.26	 105.44	psdrwk	Random	1965	0	0.43
1439302784.448	823773	6	8	312	d	d	psdrwk	 15.26	 105.44	psdrwk	Random	2277	0	0.43
1439302784.729	823773	6	9	282	w	w	psdrwk	 15.26	 105.44	psdrwk	Random	2559	0	0.43
1439302785.134	823773	6	10	404		BackSpace	psdrwk	 15.26	 105.44	psdrwk	Random	2963	0	0.43
1439302785.509	823773	6	11	375	r	r	psdrwk	 15.26	 105.44	psdrwk	Random	3338	0	0.43
1439302785.727	823773	6	12	218	w	w	psdrwk	 15.26	 105.44	psdrwk	Random	3556	0	0.43
1439302786.102	823773	6	13	375	k	k	psdrwk	 15.26	 105.44	psdrwk	Random	3931	0	0.43
1439302787.568	823773	7	0	0	o	o	oxbcqh	 11.80	 166.45	oxbcqh	Random	0	0	0.43
1439302788.161	823773	7	1	592	c	c	oxbcqh	 11.80	 166.45	oxbcqh	Random	592	0	0.43
1439302788.691	823773	7	2	530		BackSpace	oxbcqh	 11.80	 166.45	oxbcqh	Random	1122	0	0.43
1439302788.91	823773	7	3	220	x	x	oxbcqh	 11.80	 166.45	oxbcqh	Random	1342	0	0.43
1439302789.003	823773	7	4	92	x	x	oxbcqh	 11.80	 166.45	oxbcqh	Random	1434	0	0.43
1439302789.378	823773	7	5	375		BackSpace	oxbcqh	 11.80	 166.45	oxbcqh	Random	1809	0	0.43
1439302789.721	823773	7	6	343	n	n	oxbcqh	 11.80	 166.45	oxbcqh	Random	2152	0	0.43
1439302790.22	823773	7	7	499		BackSpace	oxbcqh	 11.80	 166.45	oxbcqh	Random	2651	0	0.43
1439302790.438	823773	7	8	218	b	b	oxbcqh	 11.80	 166.45	oxbcqh	Random	2869	0	0.43
1439302790.906	823773	7	9	468	c	c	oxbcqh	 11.80	 166.45	oxbcqh	Random	3337	0	0.43
1439302791.343	823773	7	10	437	q	q	oxbcqh	 11.80	 166.45	oxbcqh	Random	3774	0	0.43
1439302791.53	823773	7	11	187	j	j	oxbcqh	 11.80	 166.45	oxbcqh	Random	3961	0	0.43
1439302792.061	823773	7	12	532		BackSpace	oxbcqh	 11.80	 166.45	oxbcqh	Random	4493	0	0.43
1439302792.654	823773	7	13	592	h	h	oxbcqh	 11.80	 166.45	oxbcqh	Random	5085	0	0.43
1439302793.933	823773	8	0	0	v	v	vwmbqq	 15.90	 267.99	vwmbqq	Random	0	0	0.60
1439302794.338	823773	8	1	404	m	m	vwmbqq	 15.90	 267.99	vwmbqq	Random	404	0	0.60
1439302795.306	823773	8	2	968		BackSpace	vwmbqq	 15.90	 267.99	vwmbqq	Random	1372	0	0.60
1439302795.399	823773	8	3	93	w	w	vwmbqq	 15.90	 267.99	vwmbqq	Random	1465	0	0.60
1439302795.992	823773	8	4	594	,	comma	vwmbqq	 15.90	 267.99	vwmbqq	Random	2059	0	0.60
1439302796.46	823773	8	5	467		BackSpace	vwmbqq	 15.90	 267.99	vwmbqq	Random	2526	0	0.60
1439302796.678	823773	8	6	218	m	m	vwmbqq	 15.90	 267.99	vwmbqq	Random	2744	0	0.60
1439302797.24	823773	8	7	562	b	b	vwmbqq	 15.90	 267.99	vwmbqq	Random	3306	0	0.60
1439302797.521	823773	8	8	281	q	q	vwmbqq	 15.90	 267.99	vwmbqq	Random	3587	0	0.60
1439302797.708	823773	8	9	187	q	q	vwmbqq	 15.90	 267.99	vwmbqq	Random	3774	0	0.60
