input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439543581.298	267678	0	0	0	q	q	qslpag	 28.30	 187.76	qslpag	Random	0	0	1.00
1439543581.579	267678	0	1	280	s	s	qslpag	 28.30	 187.76	qslpag	Random	280	0	1.00
1439543581.891	267678	0	2	312	l	l	qslpag	 28.30	 187.76	qslpag	Random	592	0	1.00
1439543582.265	267678	0	3	375	p	p	qslpag	 28.30	 187.76	qslpag	Random	967	0	1.00
1439543582.671	267678	0	4	405	a	a	qslpag	 28.30	 187.76	qslpag	Random	1372	0	1.00
1439543583.419	267678	0	5	748	g	g	qslpag	 28.30	 187.76	qslpag	Random	2120	0	1.00
1439543586.664	267678	1	0	0	b	b	bsrpqj	 10.93	 497.82	bsrpqj	Random	0	0	1.00
1439543587.132	267678	1	1	467	s	s	bsrpqj	 10.93	 497.82	bsrpqj	Random	467	0	1.00
1439543588.037	267678	1	2	905	r	r	bsrpqj	 10.93	 497.82	bsrpqj	Random	1372	0	1.00
1439543589.878	267678	1	3	1841	p	p	bsrpqj	 10.93	 497.82	bsrpqj	Random	3213	0	1.00
1439543591.032	267678	1	4	1155	q	q	bsrpqj	 10.93	 497.82	bsrpqj	Random	4368	0	1.00
1439543592.155	267678	1	5	1122	j	j	bsrpqj	 10.93	 497.82	bsrpqj	Random	5490	0	1.00
1439543594.776	267678	2	0	0	z	z	zjjrwa	 20.90	 327.63	zjjrwa	Random	0	0	1.00
1439543595.619	267678	2	1	842	j	j	zjjrwa	 20.90	 327.63	zjjrwa	Random	842	0	1.00
1439543595.806	267678	2	2	187	j	j	zjjrwa	 20.90	 327.63	zjjrwa	Random	1029	0	1.00
1439543596.555	267678	2	3	750	r	r	zjjrwa	 20.90	 327.63	zjjrwa	Random	1779	0	1.00
1439543597.397	267678	2	4	842	w	w	zjjrwa	 20.90	 327.63	zjjrwa	Random	2621	0	1.00
1439543597.647	267678	2	5	250	a	a	zjjrwa	 20.90	 327.63	zjjrwa	Random	2871	0	1.00
1439543599.737	267678	3	0	0	m	m	mkacsn	 20.03	 464.05	mkacsn	Random	0	0	1.00
1439543599.987	267678	3	1	250	k	k	mkacsn	 20.03	 464.05	mkacsn	Random	250	0	1.00
