input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1440055856.801	221357	0	0	0	Shift_R	Shift_R	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	0	0	0.90
1440055856.957	221357	0	1	155	I	I	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	155	0	0.90
1440055857.425	221357	0	2	468	_	space	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	623	0	0.90
1440055857.55	221357	0	3	125	c	c	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	748	0	0.90
1440055857.612	221357	0	4	62	a	a	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	810	0	0.90
1440055857.706	221357	0	5	94	n	n	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	904	0	0.90
1440055857.8	221357	0	6	94	_	space	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	998	0	0.90
1440055857.924	221357	0	7	124	r	r	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	1122	0	0.90
1440055857.987	221357	0	8	63	e	e	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	1185	0	0.90
1440055858.143	221357	0	9	156	t	t	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	1341	0	0.90
1440055858.268	221357	0	10	125	u	u	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	1466	0	0.90
1440055858.392	221357	0	11	124	r	r	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	1590	0	0.90
1440055858.517	221357	0	12	125	n	n	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	1715	0	0.90
1440055858.704	221357	0	13	187	_	space	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	1902	0	0.90
1440055858.86	221357	0	14	156	l	l	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	2058	0	0.90
1440055859.016	221357	0	15	156	a	a	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	2214	0	0.90
1440055859.36	221357	0	16	344		BackSpace	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	2558	0	0.90
1440055859.453	221357	0	17	93	c	c	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	2651	0	0.90
1440055859.672	221357	0	18	219	t	t	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	2870	0	0.90
1440055859.828	221357	0	19	156	d	d	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	3026	0	0.90
1440055859.984	221357	0	20	156	d	d	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	3182	0	0.90
1440055860.171	221357	0	21	187	y	y	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	3369	0	0.90
1440055860.264	221357	0	22	93	_	space	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	3462	0	0.90
1440055860.389	221357	0	23	125	e	e	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	3587	0	0.90
1440055860.483	221357	0	24	94	a	a	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	3681	0	0.90
1440055860.982	221357	0	25	499	r	r	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	4180	0	0.90
1440055861.2	221357	0	26	218	l	l	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	4398	0	0.90
1440055861.45	221357	0	27	250	i	i	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	4648	0	0.90
1440055861.575	221357	0	28	125	e	e	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	4773	0	0.90
1440055861.762	221357	0	29	187	r	r	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	4960	0	0.90
1440055861.918	221357	0	30	156	.	period	I can return lctddy earlier.	 63.33	 102.95	I can return lctddy earlier.	Mix	5116	0	0.90
1440055864.757	221357	1	0	0	Shift_R	Shift_R	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	0	0	0.98
1440055864.851	221357	1	1	94	w	w	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	94	0	0.98
1440055865.007	221357	1	2	156	e	e	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	250	0	0.98
1440055865.1	221357	1	3	92	_	space	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	342	0	0.98
1440055865.288	221357	1	4	189	n	n	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	531	0	0.98
1440055865.35	221357	1	5	61	e	e	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	592	0	0.98
1440055865.506	221357	1	6	157	e	e	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	749	0	0.98
1440055865.662	221357	1	7	155	d	d	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	904	0	0.98
1440055865.787	221357	1	8	125	_	space	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	1029	0	0.98
1440055865.912	221357	1	9	125	t	t	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	1154	0	0.98
1440055866.005	221357	1	10	94	o	o	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	1248	0	0.98
1440055866.068	221357	1	11	63	_	space	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	1311	0	0.98
1440055866.192	221357	1	12	123	t	t	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	1434	0	0.98
1440055866.286	221357	1	13	95	a	a	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	1529	0	0.98
1440055866.38	221357	1	14	94	l	l	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	1623	0	0.98
1440055866.598	221357	1	15	218	k	k	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	1841	0	0.98
1440055866.785	221357	1	16	187	_	space	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	2028	0	0.98
1440055866.941	221357	1	17	156	o	o	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	2184	0	0.98
1440055867.097	221357	1	18	155	d	d	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	2339	0	0.98
1440055867.347	221357	1	19	250	c	c	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	2589	0	0.98
1440055867.596	221357	1	20	249	d	d	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	2838	0	0.98
1440055867.877	221357	1	21	282	p	p	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	3120	0	0.98
1440055868.096	221357	1	22	218	u	u	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	3338	0	0.98
1440055868.252	221357	1	23	157	_	space	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	3495	0	0.98
1440055868.345	221357	1	24	93	a	a	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	3588	0	0.98
1440055868.47	221357	1	25	125	b	b	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	3713	0	0.98
1440055868.532	221357	1	26	62	o	o	we need to talk odcdpu about this month.	 89.28	  55.83	we need to talk odcdpu about this month.	Mix	3775	0	0.98
