input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439468409.145	934313	0	0	0	Shift_L	Shift_L	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	0	0	0.94
1439468409.394	934313	0	1	249	A	A	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	249	0	0.94
1439468409.706	934313	0	2	312	r	r	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	561	0	0.94
1439468409.8	934313	0	3	93	e	e	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	654	0	0.94
1439468409.987	934313	0	4	188	_	space	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	842	0	0.94
1439468410.237	934313	0	5	250	y	y	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	1092	0	0.94
1439468410.393	934313	0	6	155	o	o	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	1247	0	0.94
1439468410.611	934313	0	7	219	u	u	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	1466	0	0.94
1439468410.829	934313	0	8	218	_	space	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	1684	0	0.94
1439468412.545	934313	0	9	1716	v	v	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	3400	0	0.94
1439468412.764	934313	0	10	218	r	r	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	3618	0	0.94
1439468413.076	934313	0	11	312	p	p	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	3930	0	0.94
1439468414.105	934313	0	12	1030	h	h	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	4960	0	0.94
1439468414.417	934313	0	13	312	m	m	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	5272	0	0.94
1439468414.573	934313	0	14	155	e	e	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	5427	0	0.94
1439468415.073	934313	0	15	500	_	space	Are you vrphme feeling better?	 38.46	 319.43	Are you vrphme feeling better?	Mix	5927	0	0.94
